0,6928,-3048,-2180,-3888,3637,-3412
0,6580,-3544,-3104,204,7472,5261
0,10752,-4264,-4104,3134,8744,16605
0,12800,-1924,-5072,14093,7938,25816
0,13536,-384,-5952,5481,9670,30627
0,15296,-192,-6020,9248,7300,28763
0,13108,1056,-5872,20815,3292,22718
0,10692,1920,-5952,24844,899,16218
0,8360,2564,-5632,20447,62,13102
0,6868,2316,-5032,17873,-345,10944
0,6528,3672,-4176,25037,-3138,7069
0,7156,4528,-3980,24024,-7567,579
0,8200,6268,-1888,12761,-10470,-4776
0,9244,5232,-1284,2185,-9950,-9540
0,10964,5412,12,3602,-10892,-14584
0,12792,4592,192,-1410,-9424,-18283
0,13200,2748,-560,-367,-7858,-21409
0,11492,1776,-1360,-2731,-6626,-23521
0,10892,664,-2912,359,-4903,-21988
0,8624,-28,-3544,1780,-2204,-18003
0,6972,-860,-3512,7139,-1619,-14174
0,5800,-1060,-3700,5347,-102,-9086
0,5436,-1208,-3956,1658,303,-692
0,5516,44,-3772,4133,206,8645
0,6788,1516,-3944,-1507,4153,20803
0,10268,1128,-5460,1188,7451,32002
0,14616,1876,-5172,3852,9154,32767
0,16988,584,-6376,5914,5373,30211
0,14996,2092,-4468,13731,-1486,19416
0,9244,1296,-4336,7741,-1290,12320
0,9260,2032,-3964,12253,765,12602
0,7360,3040,-2800,10172,4272,11951
0,7668,5904,-3152,10271,6377,8900
0,7112,6536,-4864,3499,2852,-3208
0,8588,5544,-3444,58,-1692,-13715
0,9904,4748,-4668,-3940,-3699,-20958
0,13408,2636,-4928,-7747,-5027,-24896
0,14944,252,-4640,-5126,-7154,-27634
0,16280,80,-4572,-2652,-10238,-27138
0,13300,-112,-4168,-7569,-10856,-26199
0,10840,-728,-3884,-7343,-11628,-24976
0,9240,-1096,-3528,-4680,-7032,-17826
0,6208,-1540,-3928,-4858,-3001,-10315
0,5004,-1244,-3452,-4393,-685,-2264
0,5068,-1048,-3676,3,1020,6569
0,6696,-320,-4076,2400,3792,14696
0,8336,-112,-4668,2860,6346,22711
0,12576,-296,-5140,7146,8737,31747
0,16964,408,-5448,9336,10174,32767
0,15692,2288,-5984,8714,5589,31070
0,13368,572,-4596,6399,-1239,19073
0,9452,2500,-4732,13530,-4662,12892
0,8312,1844,-4292,5725,-2731,9334
0,7288,1460,-3764,9384,-2520,6988
0,7096,2068,-3180,13774,-3180,3691
0,6420,2572,-2164,12615,-3059,-464
0,7376,3508,-1960,13585,-3690,-4489
0,8268,3740,-1972,2799,-3142,-9008
0,9992,2376,-2284,1736,-3641,-13397
0,11044,1808,-2696,6395,-6083,-17706
0,11104,1276,-2920,7505,-8440,-19993
0,13520,1732,-2904,3758,-8202,-18092
0,12104,456,-2664,-2829,-7684,-19989
0,11676,740,-2164,-37,-8923,-20506
0,9284,-88,-2340,-4571,-4888,-18388
0,6472,-1512,-2296,-1632,1177,-11510
0,5092,-1308,-3408,4200,5261,-3380
0,6084,-1264,-3768,8360,7228,4559
0,7004,-312,-4400,11697,8171,12958
0,9252,-64,-5376,9435,9898,21825
0,11924,-720,-6132,8148,11234,28396
0,16756,-1388,-7628,13928,9978,32117
0,14676,1344,-6844,17512,6585,28105
0,10168,1388,-6704,-1766,1234,16253
0,9668,-1248,-6316,11419,-4066,11019
0,8412,984,-6800,32767,-5384,11343
0,7156,1972,-5608,21536,-5440,11243
0,7240,2360,-2824,21372,-7743,7569
0,6684,4540,-1324,28623,-8967,2266
0,8364,7576,0,13068,-7678,-6225
0,10564,5236,592,4168,-5888,-14101
0,12272,4988,16,2017,-4859,-20727
0,12916,2092,-756,-448,-3760,-24979
0,14624,972,-1744,7997,-5538,-24873
0,12480,1496,-2232,1431,-5196,-24459
0,10132,280,-2944,-2180,-3323,-22823
0,10596,-860,-3488,6775,-2508,-20765
0,7776,-452,-2696,5078,-1095,-15910
0,6280,-1800,-3060,-1471,2008,-8916
0,4436,-1200,-2880,-3272,3973,109
0,4892,-1328,-3744,-1284,4366,11391
0,8496,908,-5212,8388,3450,21329
0,10020,2652,-4168,6139,3911,27495
0,12912,1708,-5760,11552,6010,28576
0,16236,2104,-6292,22114,4663,26278
0,10652,1960,-5592,15114,2514,18293
0,10948,1680,-6092,12418,-328,13000
0,9504,992,-6340,7075,-253,10813
0,7264,1188,-5232,12848,-2734,9869
0,7428,2096,-3884,15587,-4076,8590
0,6756,5132,-1128,18267,-4194,5589
0,8540,5988,-1048,1491,-267,99
0,10112,4608,-1284,4,-524,-7223
0,11068,3636,-1556,-4207,362,-13968
0,13184,1988,-2772,-6048,1215,-17616
0,13508,632,-3768,-5140,1030,-19696
0,10492,72,-4516,-1686,-1240,-22351
0,10764,24,-4540,-6839,-1347,-21752
0,9920,-588,-5220,-4134,1035,-17462
0,8844,-912,-5224,5509,-577,-14856
0,7456,-96,-4224,7797,-4086,-13707
0,5580,268,-3212,-137,-5511,-8895
0,5512,-240,-2744,-8782,-3043,-821
0,6708,-672,-2792,-4086,-911,6992
0,8980,-36,-3748,1254,-155,14810
0,11704,8,-3440,-3660,3105,22719
0,10932,432,-3640,5729,2594,27779
0,12020,1312,-4020,2368,2487,27594
0,12860,1184,-4712,2818,289,23023
0,11668,1744,-4428,6919,-2929,16879
0,9280,2520,-4036,2919,-3845,12405
0,7532,3004,-2524,3740,-2353,9042
0,7224,4024,-2036,3825,-161,4542
0,7308,4096,-2304,-3304,1567,-1731
0,9096,2904,-2772,-7687,3534,-7353
0,10104,1632,-3792,-1750,2938,-11902
0,11976,1992,-4576,-5019,3664,-15456
0,9820,864,-4516,-3144,942,-19942
0,13640,1228,-4844,-6522,1693,-21009
0,12692,-2364,-5820,5154,920,-22584
0,11028,748,-4072,20312,-9359,-26298
0,9252,648,-4244,-8501,-7270,-20709
0,8144,-1100,-3980,-8893,-4891,-15052
0,6820,-1676,-3552,-4318,-2726,-8498
0,7404,-3360,-3032,-4109,2244,-276
0,6360,-3492,-3848,6276,2287,9212
0,9552,-1768,-2804,3988,3616,18127
0,11572,-772,-3840,3781,4358,28537
0,13804,52,-3260,-2807,5041,32767
0,14256,164,-3936,192,2948,31193
